WORD	SPEECH TAG 
Gidioni	NN
aula	V
Bamidiani	NN
Endaalo	NN
ndala	ADJ
Gidioni	NN
ne	CONJ
babaandu	NN
bewe	PRON
boosi	DET
benyokha	V
makhelebende	ADV
mala	ADP
bebuusia	V
asebele	NN
eya	ADP
Haroti	NN
:	PUNC
Ekambi	NN
eye	ADP
Bamidiani	NN
yaba	V
mu	ADP
litooma	NN
ebunaswa	NN
siimbi	ADV
ne	ADP
lukulu	NN
lwa	ADP
More	NN
.	PUNC
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
aboolela	V
Gidioni	NN
ali	ADP
,	PUNC
""""	PUNC
Babaandu	NN
nibo	ADP
oli	V
nenabo	DET
bali	ADP
bakali	NN
lukali	ADJ
khwise	PRON
khubakhola	V
baule	V
Bamidiani	NN
,	PUNC
Banyala	V
bebaasia	V
bali	ADP
,	PUNC
babene	PRON
nibo	DET
baboliile	V
mala	ADP
balobe	V
khukhumba	V
ese	PRON
efuma	NN
.	PUNC
Boleela	V
babaandu	NN
oli	ADP
,	PUNC
yesi	PRON
yesi	PRON
oli	V
omuri	ADV
akhoya	V
ache	V
engo	NN
ne	CONJ
efwe	PRON
khulekhaala	V
ne	ADP
sikulu	NN
sia	ADP
Kileati	NN
ano	DET
.	PUNC
""""	PUNC
Nio	ADP
babaandu	NN
chielefu	NN
kamakhuumi	ADJ
kabili	ADJ
ne	CONJ
kabili	ADJ
bakoboola	V
engo	NN
ne	CONJ
chielefu	NN
likhumi	ADJ
bekhala	V
.	PUNC
Nio	ADP
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
aboolela	V
Gidioni	NN
ali	ADP
,	PUNC
""""	PUNC
Osili	V
ne	CONJ
Babaandu	NN
bakali	NN
lukali	ADJ
.	PUNC
Babukule	V
obayile	V
eluuchi	NN
mala	ADP
ebweneyo	PRON
ese	PRON
ndakhwaukhasiliamo.	V
Ne	CONJ
khuboolela	V
ndi	ADP
omundu	NN
ache	V
ne	ADP
nawe	PRON
ne	ADP
akhache	V
.	PUNC
Ne	ADP
khuboolela	V
ndi	ADP
omundu	NN
seacha	V
ne	ADP
nawe	PRON
tawe	DET
,	PUNC
ne	CONJ
seakhache	V
tawe	DET
.	PUNC
""""	PUNC
Gidioni	NN
abukula	V
babaandu	NN
abekhiisia	V
eluuchi	NN
mala	ADP
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
amuboolela	V
ali	ADP
,	PUNC
""""	PUNC
Yaukhasia	V
buli	ADP
siamulala	PRON
okamulila	V
busa	ADP
kameechi	NN
ne	ADP
lulimi	NN
lwewe	DET
nga	ADP
embwa	NN
,	PUNC
khukhwama	ADP
khu	ADP
buli	ADP
siamulala	PRON
osikama	V
asi	NN
khu	ADP
masikamo	NN
kewe	DET
nio	ADP
anywe	V
.	PUNC
""""	PUNC
Babaandu	NN
chimia	NN
chitaru	ADJ
baanyaka	V
busa	ADP
kaamechi	NN
kamakhono	NN
mala	ADP
ne	CONJ
bakamulila	V
busa	ADP
.	PUNC
Ne	CONJ
Babaandu	NN
babaandi	ADJ
boosi	PRON
basikama	V
khu	ADP
masikamo	NN
kabwe	DET
nio	ADP
banywa	V
.	PUNC
Wele	NN
Omunyali	NN
owa	ADP
Bioosi	NN
aboolela	V
Gidioni	NN
ali	ADP
,	PUNC
""""	PUNC
Ndakhuonia	V
mala	ADP
khukhole	V
oule	V
Bamidiani	NN
ne	CONJ
babaandu	NN
chimia	NN
chitaru	ADJ
bakamulile	V
busa	ADP
kameechi	NN
.	PUNC
Boolela	V
babaandu	NN
babaandi	ADJ
boosi	PRON
bache	V
engo	NN
.	PUNC
""""	PUNC
Nio	ADP
Gidioni	NN
abukula	V
biakhulia	NN
biabo	PRON
ba	ADP
baaba	V
nebacha	V
ne	CONJ
chikhoombi	NN
,	PUNC
abasibula	V
bache	V
engo	NN
wabwe	DET
niye	PRON
aarama	V
nende	CONJ
babaandu	NN
chimia	NN
chitaru	ADJ
echo	DET
.	PUNC
Ekambi	NN
eye	ADP
Bamidiani	NN
yaba	V
emwalo	ADV
wabwe	DET
mwitooma	NN
.	PUNC
Siilo	NN
esio	DET
Wele	NN
Omunyali	NN
owa	ADP
Bioosi	NN
abooela	V
Gidioni	NN
ali	ADP
,	PUNC
""""	PUNC
Yinyokha	V
wibwakaale	V
ekambi	NN
eye	ADP
Bamidiani	NN
,	PUNC
ese	PRON
ndakhukhola	V
oule	V
.	PRON
Ne	CONJ
waaba	V
noli	V
omuri	ADV
khukhwibwaakala	V
,	PUNC
yiicha	V
oche	V
mu	ADP
kaambi	NN
no 	ADP
mukholi	NN
wowo	DET
pura	NN
Olaulila	V
niko	ADP
balikho	V
baloma	V
,	PUNC
ne	CONJ
olanyoola	V
kamaani	NN
ke 	ADP
khukhwibwaakala	V
.	PUNC
""""	PUNC
Nio	ADP
Gidioni	NN
no	ADP
mukholi	NN
wewe	DET
pura	NN
beekha	V
bacha	V
khu	ADP
ndulo	NN
khwe	ADP
kambi	NN
yo	ADP
musiku	NN
.	PUNC
Bamidiani	NN
,	PUNC
Baamaleki	NN
ne	CONJ
chikholo	NN
che	ADP
sichiimi	NN
baba	V
basalaniile	ADV
mu	ADP
litooma	NN
nga	ADP
sipupu	NN
sie	ADP
chisike	NN
mala	ADP
baaba	V
ne	ADP
chingamia	NN
chingali	ADJ
nga	ADP
kumuyekhe	NN
khu	ADP
sikiingi	NN
sie	ADP
nyanja	NN
Nga	ADP
Gidioni	NN
neola	V
aulila	V
omundu	NN
ne	ADP
alikho	V
aboolela	V
omusaale	NN
wewe	DET
ke 	ADP
kamarooro	NN
.	PUNC
Aba 	V
alikho	V
aloma	V
ali	ADP
,	PUNC
""""	PUNC
Ndoorire	V
ndi	ADP
kumukaati	NN
kwe	ADP
eyashayiri	NN
kupiringiikhe	V
kwengila	V
mu	ADP
kambi	NN
eye	ADP
Bamidiani	NN
mala	ADP
kwekuba	V
liiema	NN
liakwa	V
mala	ADP
liaba	V
busa	ADP
asi	NN
.	PUNC
""""	PUNC
Omusaale	NN
wewe	DET
akobosia	V
ali	ADP
,	PUNC
""""	PUNC
Eli	V
embalu	NN
yo	ADP
Muisiraeli	NN
,	PUNC
Gidioni	NN
okhwa	ADP
Yoashi	NN
!	PUNC
se 	PRON
sinyala	V
siaba	V
sisiindu	NN
sisiindi	NN
siosi	PRON
siosi	PRON
tawe	DET
!	PUNC
Wele	NN
amukholile	V
akhulile	V
efwe	PRON
Bamidiani	NN
ne	CONJ
banamae	NN
boosi	PRON
.	PUNC
""""	PUNC
Nga	ADP
Gidioni	NN
neaulila	V
kamarooro	NN
ko	ADP
mundu	NN
oyo	DET
ne	CONJ
liboola	NN
liako	DET
,	PUNC
akwa	V
asi	NN
asikama	V
mala	ADP
asaaya	V
Wele	NN
.	PUNC
Nio	ADP
akobola	V
mu	ADP
kaambi	NN
eye	ADP
Baisiraeli	NN
mala	ADP
aloma	V
ali	ADP
,	PUNC
""""	PUNC
Yinyokha	V
sikila	CONJ
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
alamukhola	V
enywe	PRON
muule	V
banamae	NN
ne 	CONJ
Bamidiani	NN
.	PUNC
""""	PUNC
Aabukhania	V
babaandu	NN
chimia	NN
chitaru	ADJ
mu	ADP
bipupu	NN
bitaru	ADJ
mala	ADP
aelesia	V
buli	ADP
muundu	NN
ekhoombi	NN
ne	CONJ
chisaachi	NN
ne	CONJ
chinjaso	NN
mukari	ADP
mwacho	PRON
.	PUNC
Ababoolela	V
ali	ADP
,	PUNC
""""	PUNC
Nga	ADP
nenoola	V
khu	ADP
ndulo	NN
khola	V
mwesi	PRON
khola	V
.	PUNC
Nga	ADP
sipupu	NN
siase	DET
ne	ADP
nase	PRON
nekhupa	V
chikhoombi	NN
chefwe	DET
,	PUNC
nono	ADP
enywe	PRON
mwesi	DET
khupa	V
chichenywe	PRON
ne	CONJ
mubotookhelela	V
ekambi	NN
yoosi	DET
mala	ADP
muyokele	V
muli	ADP
,	PUNC
'	PUNC
Khulwa	ADP
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
ne	CONJ
Khulwa	ADP
Gidioni	NN
!	PUNC
'	PUNC
""""	PUNC
Gidioni	NN
ne	CONJ
babaandu	NN
bewe	PRON
chimia	
chitaru	NN
beecha	ADJ
khu	ADP
ndulo	NN
khwe	ADP
kambi	NN
ne	CONJ
sisikaale	V
siise	NN
sikeekhe	ADJ
khukhwola	V
chisa 	NN
sita	ADJ
che	ADP
silo	NN
enyuma	ADP
we 	ADP
khukaluukhania	V
baliindi	NN
be	ADP
silo	NN
.	PUNC
Nio	ADP
baapa	V
chikhoombi	NN
mala	ADP
barakaka	V
chisaachi	NN
nicho	ADP
abeele	ADP
nebatilile	V
Nio	ADP
bipupu	NN
bibiindi	ADJ
bibili	NN
bioosi	ADJ
biakhola	V
birio	DET
.	PUNC
Boosi	PRON
batiila	V
chinjaso	NN
chabwe	DET
mu	ADP
mikhono	NN
kiabwe	DET
kimikhasi	ADJ
ne	CONJ
chikhoombi	NN
mu	ADP
mikhono	NN
kiabwe	DET
kimiseecha	ADJ
mala	ADP
bayokela	V
bali	ADP
,	PUNC
""""	PUNC
Embalu	NN
eyashayiri	ADJ
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
nende	CONJ
eya 	ADP
Gidioni	NN
!	PUNC
""""	PUNC
Buli	PRON
mundu	NN
eema	V
abuundu	NN
wewe	DET
babotookhelela	V
ekambi	NN
,	PUNC
mala	ADP
banamae	NN
bo 	ADP
musiku	NN
Boosi	PRON
belukha	V
ne	ADP
bakukuula	V
burafu	ADV
.	PUNC
Ne	CONJ
nga	ADP
babaandu	NN
ba	ADP
Gidioni	NN
baba	V
balikho	V
baapa	V
chikhoombi	NN
chabwe	DET
,	PUNC
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
akhola	V
banamae	NN
basiku	ADJ
bebwaakalane	V
babene	PRON
ne	CONJ
babene	PRON
buli	ADP
mulala	PRON
no	CONJ
kundi	PRON
ne	ADP
chimbalu	NN
chabwe	DET
.	PUNC
Banamae	NN
basiku	ADJ
chana	DET
belukha	V
balola	V
Beti	NN
_	PUNC
Shita	NN
lubeka	NN
lwa	ADP
Saretani	NN
boola	V
e	ADP
Beti	NN
_	PUNC
sua	ADJ
,	PUNC
boola	V
khu	ADP
lukoba	NN
lwa	ADP
Abeli	NN
_	PUNC
mehola	V
siimbi	ADV
Ne	ADP
Tabati	NN
.	PUNC
Nono	ADP
,	PUNC
babaandu	NN
khukhwama	ADP
mu	ADP
kholo	NN
cha	ADP
nafutali	NN
,	PUNC
Asheri	NN
nende	CONJ
bewa	ADP
Manase	NN
