WORD	SPEECH TAG
 Debora	NN
ne	CONJ
Baraka	NN
Enyuma	ADP
we	ADP
khufwa	V
khwa	ADP
Ehudi	NN
,	PUNCT
Baisiraeli	NN
lundi	ADP
bakhola	V
bumayaanu	NN
khu 	ADP
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
.	PUNCT
Nio	ADP
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
abalekhela	V
Yabini	NN
abaula	V
.	PUNCT
Yabini	NN
aaba	V
omwami	NN
Omukanaani	ADJ
owamiia	V
mu	ADP
lukoba	NN
lwa	ADP
Hasari	NN
.	PUNCT
Komanda	NN
wewe	DET
owe	ADP
liie	NN
aba	V
sisera	NN
,	PUNCT
owamenyanga	V
e	ADP
Harosheti	NN
_	PUNCT
hakoimu	NN
.	PUNCT
Yabini	NN
aba	V
ne	ADP
kamakaari	NN
ke	ADP
bichuuma	NN
ke	ADP
liie	NN
chimia	ADJ
tisa	ADJ
.	PUNCT
Mala	ADP
amiia	V
Baisiraeli	NN
ne	ADP
burafu	NN
sisiayuumba	ADJ
khulwe	ADP
kimiiko	NN
kamakhumi	ADJ
kabili	ADJ
.	PUNCT
Nio	ADP
Baisiraeli	NN
balilila	V
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
abayeete	V
.	PUNCT
Nono	ADP
Debora	NN
mukha	ADP
Lapitoti	NN
aaba	V
omung'oosi	NN
lundi	CONJ
omwimeelesi	NN
Owe	ADP
Baisiraeli	NN
mu	ADP
siise	NN
esio	DET
.	PUNCT
Ekhalanga	V
asi	NN
we	ADP
kumukheendu	NN
akari	NN
wa	ADP
rama	NN
ne 	CONJ
Beteli	NN
mu	ADP
sibala	NN
sie	ADP
lukulu	NN
sia	ADP
Efuraimu	NN
,	PUNCT
ne	CONJ
Baisiraeli	NN
bachichangayo	V
khulwe	ADP
bukhalaki	NN
bwewe	DET
.	PUNCT
Endaalo	NN
ndala	DET
arumania	V
balange	V
Baraka	NN
okhwa	ADP
Abinoamu	NN
khukhwama	ADP
mu	ADP
lukoba	NN
lwa	ADP
Keteshi	NN
mu	ADP
Nafutali	NN
.	PUNCT
Nio	ADP
amuboolela	V
ali	ADP
,	PUNCT
""""	PUNCT
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
,	PUNCT
Wele	NN
Owa	ADP
Isiraeli	NN
,	PUNCT
akhulaka	V
ali	ADP
,	PUNCT
""""	PUNCT
bukula	V
babaandu	NN
chielefu	NN
likhumi	ADJ
khukhwama	ADP
mu	ADP
kholo	NN
cha	ADP
Nafutali	NN
ne	CONJ
Sebuluni	NN
,	PUNCT
mala	ADP
obayile	V
khu	ADP
sikulu	NN
sia	ADP
Tabori	NN
.	PUNCT
Ndareera	V
Sisera	NN
omukhulu	ADJ
we	ADP
banamae	NN
ba	ADP
Yabini	NN
akhupane	V
ne	CONJ
nawe	PRON
a	ADP
luuchi	NN
lwa	ADP
Kishoni	NN
.	PUNCT
Alaba	V
ne	CONJ
kamakaari	NN
ke	ADP
bibia	NN
ne	CONJ
banamae	NN
,	PUNCT
ne	CONJ
ese	PRON
ndakhukhola	V
omuule	V
.	PUNCT
""""	PUNCT
nio	CONJ
Baraka	NN
akobosia	V
ali	ADP
,	PUNCT
""""	PUNCT
ndacha	V
,	PUNCT
ewe	PRON
waaba	V
ne	ADP
olacha	V
alala	ADV
ne	CONJ
nase	PRON
,	PUNCT
ne	CONJ
waaba	V
ne	ADP
okhacha	V
ne	CONJ
nase	PRON
tawe	ADP
sesi	PRON
se	ADP
endacha	V
tawe	ADP
.	PUNCT
""""	PUNCT
Debora	NN
amukobosia	V
ali	ADP
,	PUNCT
""""	PUNCT
bulayi	NN
ndacha 	V
ne	CONJ
nawe	PRON
,	PUNCT
ne	CONJ
ewe	PRON
se	ADP
alanyoola	V
efuma	NN
khulwe	ADP
khuula	V
tawe	ADP
sikila	CONJ
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
alaana	V
Sisera	NN
khu	ADP
mukhasi	NN
.	PUNCT
""""	PUNCT
nio	CONJ
Debora	NN
arura	V
acha	V
Keteshi	NN
alala	ADV
ne	CONJ
Baraka	NN
.	PUNCT
Baraka	NN
alanga	V
chikholo	NN
cha	ADP
Sebuluni	NN
ne	CONJ
Nafutali	NN
chiche	V
e	ADP
Keteshi	NN
mala	ADP
babaandu	NN
chielefu	ADJ
likhumi	ADJ
bamuloondakho	V
.	PUNCT
Debora	NN
acha	V
ne	CONJ
naye	PRON
.	PUNCT
mu	ADP
siise	NN
esio	DET
Heberi	NN
omukenayi	ADJ
aaba	V
oombakha	V
liiema	NN
liewe	DET
e	ADP
Keteshi	NN
,	PUNCT
siimbi	ADV
amuruba	NN
a	ADP
Saananimu	NN
.	PUNCT
aba	V
auuya	V
acha	V
aleeyi	ADV
khukhwama	ADP
khu	ADP
bakenayi	NN
babaandi	ADJ
be	ADP
lisaaye	NN
lia	ADP
Hobabu	NN
mukhwewe	ADJ
owa	ADP
Musa	NN
.	PUNCT
Sisera	NN
amanya	V
ali	ADP
Baraka	NN
aba	V
aniinile	V
khu	ADP
sikulu	NN
sia	ADP
Tabori	NN
.	PUNCT
Nio	ADP
alaanga	V
bamureerere	V
kamakaari	NN
kewe	DET
ke	ADP
bichuuma	NN
chimia	ADJ
tisa	ADJ
ne	CONJ
babaandu	NN
bewe	DET
boosi	DET
.	PUNCT
Nio	ADP
abaruma	V
khukhwama	ADP
e	ADP
Harosheti	NN
-	PUNCT
hakoimu	NN
bache	V
khu	ADP
